SKUCode,SourceLocationCode,DestLocationCode,LeadTime,ReplenishmentCycle,MinLotSizes,ServiceLevel
SKU020,CDC02,RDC07,7,14,240,0.95
SKU020,CDC01,RDC03,7,14,60,0.95
SKU021,CDC02,RDC09,7,7,120,0.95
SKU021,CDC01,RDC01,7,7,240,0.95
SKU021,CDC02,RDC07,7,14,60,0.95
SKU022,CDC01,RDC05,7,7,60,0.95
SKU022,CDC01,RDC04,7,7,240,0.95
SKU022,CDC01,RDC03,7,14,60,0.95
SKU022,CDC02,RDC08,7,7,120,0.95
SKU022,CDC02,RDC07,7,7,240,0.95
SKU023,CDC02,RDC10,7,14,120,0.95
SKU023,CDC02,RDC09,7,7,240,0.95
SKU023,CDC02,RDC06,7,14,240,0.95
SKU023,CDC01,RDC02,7,7,120,0.95
SKU024,CDC01,RDC01,7,14,240,0.95
SKU024,CDC01,RDC02,7,14,240,0.95
SKU024,CDC01,RDC03,7,7,240,0.95
SKU024,CDC02,RDC07,7,7,60,0.95
SKU024,CDC01,RDC04,7,7,60,0.95
SKU024,CDC02,RDC10,7,7,240,0.95
SKU024,CDC02,RDC06,7,7,120,0.95
SKU025,CDC01,RDC02,7,14,120,0.95
SKU025,CDC02,RDC09,7,14,60,0.95
SKU025,CDC02,RDC08,7,7,120,0.95
SKU025,CDC01,RDC01,7,7,120,0.95
SKU026,CDC02,RDC09,7,7,240,0.95
SKU026,CDC01,RDC04,7,7,60,0.95
SKU026,CDC02,RDC07,7,7,60,0.95
SKU026,CDC01,RDC01,7,7,120,0.95
SKU026,CDC01,RDC02,7,7,240,0.95
SKU026,CDC02,RDC08,7,7,240,0.95
SKU027,CDC01,RDC05,7,7,60,0.95
SKU027,CDC02,RDC07,7,7,120,0.95
SKU028,CDC01,RDC01,7,14,60,0.95
SKU028,CDC02,RDC08,7,7,240,0.95
SKU028,CDC02,RDC07,7,7,60,0.95
SKU028,CDC01,RDC03,7,7,120,0.95
SKU028,CDC01,RDC04,7,14,60,0.95
SKU028,CDC01,RDC02,7,14,120,0.95
SKU028,CDC02,RDC10,7,7,240,0.95
SKU029,CDC01,RDC04,7,7,60,0.95
SKU029,CDC01,RDC01,7,7,60,0.95
SKU030,CDC01,RDC01,7,14,60,0.95
SKU030,CDC02,RDC08,7,14,120,0.95
SKU030,CDC02,RDC06,7,7,60,0.95
SKU030,CDC01,RDC02,7,7,120,0.95
SKU030,CDC01,RDC03,7,14,60,0.95
SKU030,CDC02,RDC10,7,14,240,0.95
SKU030,CDC01,RDC04,7,14,120,0.95
SKU031,CDC02,RDC08,7,7,120,0.95
SKU031,CDC01,RDC01,7,7,240,0.95
SKU032,CDC02,RDC08,7,7,240,0.95
SKU032,CDC01,RDC05,7,7,120,0.95
SKU032,CDC01,RDC04,7,14,120,0.95
SKU032,CDC01,RDC02,7,7,60,0.95
SKU032,CDC01,RDC01,7,7,60,0.95
SKU032,CDC02,RDC07,7,14,60,0.95
SKU032,CDC02,RDC10,7,14,240,0.95
SKU032,CDC01,RDC03,7,7,240,0.95
SKU033,CDC02,RDC08,7,7,120,0.95
SKU033,CDC01,RDC01,7,14,60,0.95
SKU033,CDC01,RDC05,7,14,60,0.95
SKU033,CDC01,RDC04,7,7,240,0.95
SKU034,CDC01,RDC05,7,14,60,0.95
SKU034,CDC02,RDC08,7,14,120,0.95
SKU034,CDC01,RDC03,7,7,60,0.95
SKU034,CDC02,RDC09,7,7,120,0.95
SKU035,CDC02,RDC08,7,7,60,0.95
SKU035,CDC02,RDC10,7,7,120,0.95
SKU035,CDC01,RDC02,7,7,240,0.95
SKU035,CDC02,RDC06,7,14,240,0.95
SKU035,CDC01,RDC05,7,14,240,0.95
SKU036,CDC01,RDC05,7,7,60,0.95
SKU036,CDC02,RDC09,7,7,240,0.95
SKU036,CDC02,RDC07,7,7,60,0.95
SKU036,CDC01,RDC02,7,7,120,0.95
SKU036,CDC01,RDC03,7,7,240,0.95
SKU036,CDC02,RDC10,7,14,60,0.95
SKU037,CDC01,RDC05,7,14,240,0.95
SKU037,CDC01,RDC02,7,14,120,0.95
SKU037,CDC02,RDC06,7,7,60,0.95
SKU037,CDC01,RDC04,7,14,120,0.95
SKU037,CDC02,RDC07,7,7,240,0.95
SKU038,CDC01,RDC05,7,7,60,0.95
SKU038,CDC02,RDC06,7,14,120,0.95
SKU038,CDC01,RDC01,7,14,60,0.95
SKU038,CDC01,RDC02,7,7,60,0.95
SKU038,CDC01,RDC04,7,14,240,0.95
SKU039,CDC02,RDC09,7,7,240,0.95
SKU039,CDC01,RDC03,7,14,60,0.95
SKU039,CDC02,RDC06,7,14,120,0.95
SKU039,CDC01,RDC05,7,14,60,0.95
SKU039,CDC02,RDC10,7,7,120,0.95
SKU039,CDC01,RDC04,7,14,60,0.95
SKU039,CDC02,RDC07,7,7,120,0.95
SKU040,CDC02,RDC09,7,14,240,0.95
SKU040,CDC01,RDC04,7,14,240,0.95
SKU040,CDC02,RDC07,7,7,60,0.95
SKU040,CDC02,RDC10,7,7,60,0.95
SKU040,CDC02,RDC08,7,14,120,0.95
SKU040,CDC01,RDC01,7,7,60,0.95
SKU040,CDC01,RDC02,7,7,120,0.95
SKU041,CDC01,RDC05,7,7,240,0.95
SKU041,CDC01,RDC02,7,7,120,0.95
SKU042,CDC02,RDC06,7,14,120,0.95
SKU042,CDC02,RDC07,7,14,240,0.95
SKU042,CDC01,RDC01,7,14,60,0.95
SKU042,CDC01,RDC04,7,7,60,0.95
SKU043,CDC02,RDC09,7,14,120,0.95
SKU043,CDC01,RDC04,7,14,240,0.95
SKU043,CDC01,RDC02,7,7,120,0.95
SKU043,CDC02,RDC07,7,7,120,0.95
SKU044,CDC02,RDC07,7,7,240,0.95
SKU044,CDC02,RDC09,7,14,240,0.95
SKU044,CDC01,RDC03,7,7,240,0.95
SKU044,CDC02,RDC06,7,14,240,0.95
SKU044,CDC02,RDC10,7,7,60,0.95
SKU045,CDC01,RDC04,7,14,60,0.95
SKU045,CDC02,RDC08,7,14,60,0.95
SKU045,CDC02,RDC09,7,14,240,0.95
SKU045,CDC01,RDC02,7,14,60,0.95
SKU046,CDC02,RDC08,7,14,120,0.95
SKU046,CDC02,RDC06,7,14,120,0.95
SKU047,CDC01,RDC01,7,7,60,0.95
SKU047,CDC01,RDC02,7,14,240,0.95
SKU048,CDC01,RDC01,7,7,240,0.95
SKU048,CDC02,RDC07,7,14,240,0.95
SKU048,CDC02,RDC10,7,7,120,0.95
SKU048,CDC01,RDC03,7,14,120,0.95
SKU048,CDC01,RDC04,7,14,60,0.95
SKU049,CDC02,RDC06,7,7,240,0.95
SKU049,CDC02,RDC08,7,7,240,0.95
SKU050,CDC01,RDC04,7,7,120,0.95
SKU050,CDC01,RDC05,7,14,240,0.95
SKU051,CDC01,RDC03,7,7,240,0.95
SKU051,CDC01,RDC04,7,7,240,0.95
SKU051,CDC02,RDC10,7,14,60,0.95
SKU051,CDC01,RDC02,7,7,120,0.95
SKU051,CDC02,RDC09,7,14,120,0.95
SKU051,CDC02,RDC06,7,7,240,0.95
SKU052,CDC02,RDC07,7,7,60,0.95
SKU052,CDC02,RDC08,7,7,120,0.95
SKU052,CDC02,RDC10,7,7,60,0.95
SKU052,CDC02,RDC06,7,7,240,0.95
SKU052,CDC01,RDC05,7,14,240,0.95
SKU053,CDC02,RDC07,7,14,60,0.95
SKU053,CDC01,RDC02,7,14,240,0.95
SKU053,CDC02,RDC08,7,7,120,0.95
SKU053,CDC02,RDC09,7,7,60,0.95
SKU054,CDC01,RDC05,7,7,240,0.95
SKU054,CDC02,RDC10,7,7,60,0.95
SKU054,CDC01,RDC01,7,14,240,0.95
SKU054,CDC01,RDC03,7,7,60,0.95
SKU054,CDC01,RDC04,7,7,120,0.95
SKU054,CDC02,RDC08,7,14,240,0.95
SKU054,CDC02,RDC09,7,14,240,0.95
SKU054,CDC02,RDC06,7,7,60,0.95
SKU055,CDC01,RDC01,7,7,240,0.95
SKU055,CDC01,RDC02,7,7,120,0.95
SKU056,CDC01,RDC02,7,14,60,0.95
SKU056,CDC02,RDC08,7,14,120,0.95
SKU056,CDC02,RDC06,7,7,60,0.95
SKU056,CDC01,RDC05,7,14,240,0.95
SKU057,CDC02,RDC06,7,7,60,0.95
SKU057,CDC02,RDC08,7,7,240,0.95
SKU057,CDC01,RDC02,7,7,60,0.95
SKU058,CDC01,RDC05,7,7,60,0.95
SKU058,CDC01,RDC04,7,14,240,0.95
SKU058,CDC02,RDC07,7,14,240,0.95
SKU059,CDC02,RDC09,7,7,120,0.95
SKU059,CDC02,RDC10,7,7,120,0.95
SKU059,CDC01,RDC02,7,14,240,0.95
SKU059,CDC01,RDC04,7,7,240,0.95
SKU059,CDC02,RDC08,7,7,120,0.95
SKU060,CDC01,RDC02,7,7,120,0.95
SKU060,CDC01,RDC04,7,7,120,0.95
SKU060,CDC02,RDC07,7,7,60,0.95
SKU060,CDC01,RDC01,7,14,240,0.95
SKU061,CDC01,RDC05,7,14,240,0.95
SKU061,CDC02,RDC10,7,7,240,0.95
SKU061,CDC01,RDC02,7,7,60,0.95
SKU061,CDC02,RDC08,7,14,240,0.95
SKU061,CDC01,RDC04,7,14,120,0.95
SKU062,CDC01,RDC03,7,7,240,0.95
SKU062,CDC01,RDC05,7,7,240,0.95
SKU062,CDC02,RDC06,7,7,60,0.95
SKU062,CDC01,RDC01,7,7,60,0.95
SKU062,CDC01,RDC02,7,14,60,0.95
SKU062,CDC02,RDC09,7,7,60,0.95
SKU062,CDC02,RDC07,7,14,240,0.95
SKU062,CDC02,RDC08,7,14,60,0.95
SKU063,CDC01,RDC04,7,7,120,0.95
SKU063,CDC02,RDC10,7,7,120,0.95
SKU063,CDC01,RDC03,7,14,240,0.95
SKU063,CDC02,RDC06,7,7,120,0.95
SKU063,CDC01,RDC05,7,7,120,0.95
SKU063,CDC02,RDC09,7,7,240,0.95
SKU063,CDC01,RDC01,7,14,60,0.95
SKU063,CDC02,RDC07,7,14,60,0.95
SKU064,CDC01,RDC02,7,7,120,0.95
SKU064,CDC02,RDC08,7,14,240,0.95
SKU064,CDC01,RDC05,7,14,240,0.95
SKU064,CDC01,RDC03,7,14,120,0.95
SKU064,CDC02,RDC09,7,14,240,0.95
SKU064,CDC01,RDC01,7,14,240,0.95
SKU065,CDC02,RDC08,7,7,240,0.95
SKU065,CDC02,RDC09,7,14,240,0.95
SKU065,CDC01,RDC04,7,14,60,0.95
SKU065,CDC02,RDC07,7,14,60,0.95
SKU065,CDC02,RDC06,7,7,120,0.95
SKU065,CDC01,RDC02,7,7,120,0.95
SKU065,CDC01,RDC01,7,7,60,0.95
SKU066,CDC02,RDC08,7,7,120,0.95
SKU066,CDC02,RDC09,7,14,60,0.95
SKU066,CDC02,RDC06,7,14,240,0.95
SKU067,CDC02,RDC09,7,14,120,0.95
SKU067,CDC01,RDC01,7,7,240,0.95
SKU068,CDC01,RDC03,7,14,120,0.95
SKU068,CDC01,RDC04,7,7,240,0.95
SKU069,CDC02,RDC08,7,7,60,0.95
SKU069,CDC02,RDC09,7,14,120,0.95
SKU069,CDC02,RDC07,7,14,120,0.95
SKU069,CDC01,RDC03,7,14,240,0.95
SKU069,CDC01,RDC01,7,14,120,0.95
SKU069,CDC01,RDC04,7,7,120,0.95
SKU069,CDC01,RDC02,7,14,60,0.95
SKU069,CDC01,RDC05,7,14,60,0.95
SKU070,CDC01,RDC02,7,7,60,0.95
SKU070,CDC01,RDC01,7,14,120,0.95
SKU070,CDC01,RDC03,7,14,240,0.95
SKU070,CDC02,RDC06,7,14,60,0.95
SKU070,CDC02,RDC08,7,14,60,0.95
SKU070,CDC02,RDC07,7,14,240,0.95
SKU070,CDC01,RDC05,7,7,120,0.95
SKU070,CDC02,RDC10,7,7,60,0.95
SKU071,CDC01,RDC02,7,14,240,0.95
SKU071,CDC01,RDC03,7,14,120,0.95
SKU071,CDC02,RDC10,7,14,240,0.95
SKU071,CDC02,RDC09,7,7,120,0.95
SKU071,CDC01,RDC05,7,14,240,0.95
SKU071,CDC02,RDC06,7,7,60,0.95
SKU071,CDC02,RDC07,7,7,240,0.95
SKU071,CDC02,RDC08,7,14,60,0.95
SKU072,CDC01,RDC04,7,14,240,0.95
SKU072,CDC01,RDC01,7,7,240,0.95
SKU072,CDC02,RDC09,7,7,120,0.95
SKU072,CDC02,RDC06,7,7,240,0.95
SKU072,CDC01,RDC05,7,7,60,0.95
SKU072,CDC02,RDC08,7,14,240,0.95
SKU072,CDC01,RDC02,7,7,60,0.95
SKU072,CDC02,RDC10,7,14,120,0.95
SKU073,CDC02,RDC10,7,14,60,0.95
SKU073,CDC01,RDC01,7,14,240,0.95
SKU073,CDC02,RDC08,7,7,120,0.95
SKU073,CDC02,RDC06,7,7,120,0.95
SKU073,CDC01,RDC04,7,7,60,0.95
SKU073,CDC02,RDC07,7,7,120,0.95
SKU073,CDC01,RDC05,7,14,60,0.95
SKU073,CDC01,RDC03,7,14,120,0.95
SKU074,CDC02,RDC07,7,7,120,0.95
SKU074,CDC02,RDC10,7,7,120,0.95
SKU074,CDC01,RDC05,7,14,240,0.95
SKU074,CDC02,RDC06,7,7,60,0.95
SKU074,CDC02,RDC08,7,14,240,0.95
SKU074,CDC01,RDC02,7,14,60,0.95
SKU074,CDC01,RDC03,7,14,240,0.95
SKU075,CDC02,RDC07,7,7,60,0.95
SKU075,CDC02,RDC08,7,14,120,0.95
SKU075,CDC01,RDC02,7,14,240,0.95
SKU075,CDC01,RDC04,7,14,60,0.95
SKU075,CDC01,RDC03,7,7,240,0.95
SKU075,CDC02,RDC06,7,14,60,0.95
SKU076,CDC02,RDC08,7,7,60,0.95
SKU076,CDC01,RDC03,7,14,240,0.95
SKU076,CDC02,RDC09,7,7,120,0.95
SKU076,CDC01,RDC01,7,14,120,0.95
SKU076,CDC01,RDC04,7,7,120,0.95
SKU076,CDC01,RDC02,7,7,120,0.95
SKU076,CDC02,RDC07,7,14,60,0.95
SKU076,CDC02,RDC06,7,14,60,0.95
SKU077,CDC01,RDC02,7,7,120,0.95
SKU077,CDC01,RDC04,7,7,120,0.95
SKU077,CDC02,RDC07,7,14,240,0.95
SKU077,CDC02,RDC08,7,7,120,0.95
SKU077,CDC01,RDC03,7,14,120,0.95
SKU077,CDC01,RDC05,7,7,60,0.95
SKU077,CDC02,RDC06,7,7,240,0.95
SKU078,CDC02,RDC07,7,14,240,0.95
SKU078,CDC02,RDC09,7,14,120,0.95
SKU078,CDC01,RDC05,7,14,240,0.95
SKU078,CDC02,RDC08,7,14,240,0.95
SKU079,CDC01,RDC04,7,7,120,0.95
SKU079,CDC02,RDC09,7,14,120,0.95
SKU079,CDC01,RDC01,7,14,60,0.95
SKU079,CDC01,RDC05,7,14,120,0.95
SKU080,CDC02,RDC09,7,14,240,0.95
SKU080,CDC01,RDC01,7,7,60,0.95
SKU080,CDC01,RDC02,7,7,120,0.95
SKU080,CDC01,RDC05,7,14,120,0.95
SKU080,CDC02,RDC06,7,7,120,0.95
SKU081,CDC01,RDC05,7,7,60,0.95
SKU081,CDC02,RDC07,7,14,120,0.95
SKU081,CDC01,RDC02,7,14,240,0.95
SKU081,CDC01,RDC03,7,7,120,0.95
SKU081,CDC02,RDC09,7,7,240,0.95
SKU082,CDC01,RDC02,7,14,240,0.95
SKU082,CDC02,RDC07,7,7,240,0.95
SKU082,CDC01,RDC05,7,14,60,0.95
SKU082,CDC01,RDC03,7,14,120,0.95
SKU082,CDC02,RDC09,7,14,60,0.95
SKU082,CDC02,RDC10,7,7,240,0.95
SKU082,CDC02,RDC06,7,7,240,0.95
SKU082,CDC01,RDC01,7,7,60,0.95
SKU083,CDC02,RDC07,7,7,240,0.95
SKU083,CDC01,RDC05,7,7,240,0.95
SKU083,CDC01,RDC02,7,7,240,0.95
SKU083,CDC01,RDC04,7,7,120,0.95
SKU084,CDC01,RDC01,7,7,240,0.95
SKU084,CDC01,RDC05,7,14,60,0.95
SKU085,CDC02,RDC09,7,7,120,0.95
SKU085,CDC01,RDC01,7,14,60,0.95
SKU085,CDC02,RDC10,7,14,120,0.95
SKU085,CDC02,RDC06,7,14,240,0.95
SKU085,CDC01,RDC04,7,7,60,0.95
SKU085,CDC01,RDC05,7,7,60,0.95
SKU085,CDC01,RDC02,7,14,240,0.95
SKU085,CDC02,RDC07,7,7,60,0.95
SKU086,CDC01,RDC03,7,14,120,0.95
SKU086,CDC01,RDC01,7,7,240,0.95
SKU086,CDC01,RDC02,7,14,240,0.95
SKU086,CDC02,RDC07,7,14,240,0.95
SKU087,CDC01,RDC02,7,7,240,0.95
SKU087,CDC01,RDC01,7,14,120,0.95
SKU087,CDC01,RDC04,7,14,120,0.95
SKU087,CDC02,RDC07,7,7,120,0.95
SKU087,CDC01,RDC05,7,7,120,0.95
SKU087,CDC02,RDC10,7,7,60,0.95
SKU088,CDC01,RDC01,7,7,60,0.95
SKU088,CDC01,RDC05,7,14,120,0.95
SKU088,CDC01,RDC04,7,14,120,0.95
SKU088,CDC02,RDC10,7,7,60,0.95
SKU089,CDC02,RDC07,7,14,120,0.95
SKU089,CDC01,RDC03,7,14,120,0.95
SKU089,CDC01,RDC04,7,14,240,0.95
SKU089,CDC01,RDC01,7,14,240,0.95
SKU089,CDC02,RDC06,7,14,60,0.95
SKU089,CDC02,RDC09,7,14,60,0.95
SKU089,CDC01,RDC05,7,14,60,0.95
SKU089,CDC02,RDC10,7,14,240,0.95
SKU090,CDC02,RDC08,7,14,120,0.95
SKU090,CDC01,RDC04,7,14,60,0.95
SKU090,CDC02,RDC10,7,7,120,0.95
SKU091,CDC01,RDC02,7,7,120,0.95
SKU091,CDC01,RDC03,7,14,120,0.95
SKU091,CDC02,RDC08,7,7,240,0.95
SKU092,CDC02,RDC09,7,7,120,0.95
SKU092,CDC01,RDC05,7,14,60,0.95
SKU092,CDC01,RDC02,7,7,240,0.95
SKU092,CDC02,RDC06,7,7,60,0.95
SKU092,CDC01,RDC04,7,14,240,0.95
SKU092,CDC02,RDC10,7,7,60,0.95
SKU092,CDC02,RDC08,7,7,240,0.95
SKU092,CDC02,RDC07,7,14,120,0.95
SKU093,CDC02,RDC06,7,14,60,0.95
SKU093,CDC01,RDC01,7,14,120,0.95
SKU093,CDC02,RDC10,7,14,60,0.95
SKU093,CDC02,RDC07,7,14,60,0.95
SKU093,CDC01,RDC02,7,7,240,0.95
SKU094,CDC01,RDC04,7,14,240,0.95
SKU094,CDC02,RDC08,7,14,60,0.95
SKU095,CDC01,RDC03,7,14,60,0.95
SKU095,CDC01,RDC02,7,7,120,0.95
SKU096,CDC02,RDC07,7,14,240,0.95
SKU096,CDC01,RDC05,7,14,120,0.95
SKU096,CDC01,RDC02,7,7,120,0.95
SKU096,CDC02,RDC09,7,7,240,0.95
SKU096,CDC01,RDC04,7,14,60,0.95
SKU096,CDC02,RDC10,7,7,120,0.95
SKU096,CDC02,RDC06,7,14,240,0.95
SKU097,CDC01,RDC03,7,7,60,0.95
SKU097,CDC01,RDC01,7,14,120,0.95
SKU098,CDC01,RDC04,7,14,120,0.95
SKU098,CDC02,RDC10,7,14,60,0.95
SKU098,CDC02,RDC06,7,7,240,0.95
SKU098,CDC01,RDC03,7,14,60,0.95
SKU098,CDC01,RDC01,7,14,60,0.95
SKU098,CDC02,RDC09,7,14,240,0.95
SKU099,CDC02,RDC06,7,7,60,0.95
SKU099,CDC02,RDC07,7,7,60,0.95
SKU099,CDC01,RDC05,7,7,60,0.95
SKU099,CDC02,RDC09,7,14,240,0.95
SKU099,CDC01,RDC01,7,14,120,0.95
SKU099,CDC01,RDC02,7,14,60,0.95
SKU100,CDC01,RDC03,7,7,120,0.95
SKU100,CDC02,RDC10,7,14,120,0.95
SKU100,CDC02,RDC07,7,14,120,0.95
SKU100,CDC02,RDC08,7,7,60,0.95
SKU100,CDC02,RDC06,7,7,60,0.95
SKU100,CDC02,RDC09,7,7,60,0.95
SKU100,CDC01,RDC04,7,7,120,0.95
